Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
FR;GONFREVILLE-L'ORCHER;Gonfreville l Orcher;49.50273000006004, 0.23248599967153102;SO2;eea;µg/m³;1.7;2024-10-23T02:00:00-05:00;France
FR;GAP;GAP COMMANDERIE;44.55519500016715, 6.073015000180452;PM2.5;eea;µg/m³;8.4;2024-10-21T20:00:00-05:00;France
FR;MIRAMONT-DE-COMMINGES;MIRAMONT;43.093612999884385, 0.743611000284973;SO2;eea;µg/m³;1.0;2024-10-23T02:00:00-05:00;France
FR;FORT-DE-FRANCE;Fort-de-France - Hôtel de ville;14.607443999603946, -61.0697800003841;PM10;eea;µg/m³;12.9;2024-10-23T02:00:00-05:00;France
FR;MUNCHHAUSEN;Nord-Est Alsace;48.91935699988632, 8.158457999835527;NO2;eea;µg/m³;19.6;2024-10-23T02:00:00-05:00;France
FR;CAYENNE;Caiena3;4.937846700122823, -52.32092999972592;NO2;eea;µg/m³;-1.0;2024-05-30T03:00:00-05:00;France
FR;DOUAI;Douai Theuriet;50.37822000019202, 3.065859999609541;PM2.5;eea;µg/m³;11.7;2024-10-23T02:00:00-05:00;France
FR;ORLÉANS;Gambetta;47.90708000006069, 1.901138999935022;NO2;eea;µg/m³;32.6;2024-10-23T02:00:00-05:00;France
FR;CHERBOURG-EN-COTENTIN;Cherbourg Hotel de Ville;49.642250000230675, -1.6243610001396644;O3;eea;µg/m³;26.2;2024-10-23T02:00:00-05:00;France
FR;ANNEMASSE;ANNEMASSE;46.195829999916846, 6.240556000117605;PM2.5;eea;µg/m³;4.1;2024-10-23T02:00:00-05:00;France
FR;VICHY;Vichy;46.13043199972416, 3.425694000057739;PM10;eea;µg/m³;11.0;2024-10-19T21:00:00-05:00;France
FR;SAINT-DIZIER;St DIZIER L. Michel;48.64583599977771, 4.966110999614851;PM2.5;eea;µg/m³;1.7;2024-10-23T02:00:00-05:00;France
FR;STRASBOURG;Strasbourg Clemenceau;48.590429999772034, 7.744983000336326;PM10;eea;µg/m³;18.0;2024-10-21T20:00:00-05:00;France
FR;BORDEAUX;Bordeaux_GAUTIER;44.83382400000155, -0.5985249997570591;PM2.5;eea;µg/m³;0.4;2024-10-21T19:00:00-05:00;France
